"filename", "language", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\work\Desktop\petshop\about.css", "PostCSS", 0, 0, 90, 0, 17, 107
"c:\Users\work\Desktop\petshop\about.html", "HTML", 0, 58, 0, 0, 9, 67
"c:\Users\work\Desktop\petshop\about.js", "JavaScript", 11, 0, 0, 0, 1, 12
"c:\Users\work\Desktop\petshop\cart.css", "PostCSS", 0, 0, 127, 0, 20, 147
"c:\Users\work\Desktop\petshop\cart.html", "HTML", 0, 21, 0, 0, 12, 33
"c:\Users\work\Desktop\petshop\cart.js", "JavaScript", 34, 0, 0, 0, 5, 39
"c:\Users\work\Desktop\petshop\checkout.css", "PostCSS", 0, 0, 53, 0, 7, 60
"c:\Users\work\Desktop\petshop\checkout.html", "HTML", 0, 28, 0, 0, 7, 35
"c:\Users\work\Desktop\petshop\checkout.js", "JavaScript", 5, 0, 0, 1, 0, 6
"c:\Users\work\Desktop\petshop\clothing.css", "PostCSS", 0, 0, 76, 0, 12, 88
"c:\Users\work\Desktop\petshop\clothing.html", "HTML", 0, 34, 0, 0, 7, 41
"c:\Users\work\Desktop\petshop\clothing.js", "JavaScript", 68, 0, 0, 0, 23, 91
"c:\Users\work\Desktop\petshop\contact.html", "HTML", 0, 135, 0, 0, 21, 156
"c:\Users\work\Desktop\petshop\food.css", "PostCSS", 0, 0, 93, 1, 16, 110
"c:\Users\work\Desktop\petshop\food.html", "HTML", 0, 35, 0, 3, 7, 45
"c:\Users\work\Desktop\petshop\food.js", "JavaScript", 68, 0, 0, 12, 30, 110
"c:\Users\work\Desktop\petshop\gallery.css", "PostCSS", 0, 0, 75, 0, 12, 87
"c:\Users\work\Desktop\petshop\gallery.html", "HTML", 0, 53, 0, 0, 13, 66
"c:\Users\work\Desktop\petshop\index.html", "HTML", 0, 222, 0, 0, 21, 243
"c:\Users\work\Desktop\petshop\product.css", "PostCSS", 0, 0, 368, 25, 103, 496
"c:\Users\work\Desktop\petshop\product.html", "HTML", 0, 105, 0, 6, 18, 129
"c:\Users\work\Desktop\petshop\product.js", "JavaScript", 31, 0, 0, 0, 4, 35
"c:\Users\work\Desktop\petshop\script.js", "JavaScript", 50, 0, 0, 0, 39, 89
"c:\Users\work\Desktop\petshop\style.css", "PostCSS", 0, 0, 759, 55, 217, 1031
"c:\Users\work\Desktop\petshop\subscribe.html", "HTML", 0, 103, 0, 0, 17, 120
"c:\Users\work\Desktop\petshop\testimonal.css", "PostCSS", 0, 0, 76, 0, 12, 88
"c:\Users\work\Desktop\petshop\testimonal.html", "HTML", 0, 43, 0, 0, 10, 53
"c:\Users\work\Desktop\petshop\testimonal.js", "JavaScript", 7, 0, 0, 2, 0, 9
"c:\Users\work\Desktop\petshop\toy.css", "PostCSS", 0, 0, 77, 0, 12, 89
"c:\Users\work\Desktop\petshop\toy.html", "HTML", 0, 34, 0, 0, 6, 40
"c:\Users\work\Desktop\petshop\toy.js", "JavaScript", 67, 0, 0, 0, 23, 90
"c:\Users\work\Desktop\petshop\treats.css", "PostCSS", 0, 0, 77, 0, 12, 89
"c:\Users\work\Desktop\petshop\treats.html", "HTML", 0, 34, 0, 0, 5, 39
"c:\Users\work\Desktop\petshop\treats.js", "JavaScript", 68, 0, 0, 5, 18, 91
"c:\Users\work\Desktop\petshop\user.html", "HTML", 0, 133, 0, 3, 21, 157
"c:\Users\work\Desktop\petshop\walk&travel.css", "PostCSS", 0, 0, 77, 0, 12, 89
"c:\Users\work\Desktop\petshop\walk&travel.html", "HTML", 0, 35, 0, 0, 5, 40
"c:\Users\work\Desktop\petshop\walk&travel.js", "JavaScript", 72, 0, 0, 6, 21, 99
"Total", "-", 481, 1073, 1948, 119, 795, 4416